"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"683","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"684","Visitors of the Night","1995","PG","27 Nov 1995","98 min","Sci-Fi, Thriller","Jorge Montesi","Michael J. Murray","Markie Post, Stephen McHattie, Candace Cameron Bure, Dale Midkiff","Judith notices some very creepy things are happening around town. She and the town's sheriff make a chilling discovery, the town's teens are disappearing. When they reappear they are ...","English","USA, Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTY1NTE4NjExOF5BMl5BanBnXkFtZTcwMDQ4MDkzMQ@@._V1_SX300.jpg","Internet Movie Database","5.1/10","N/A","5.1","388","tt0114860","movie","N/A","N/A","N/A","N/A","True","",""
"685","Running Out of Time","1999","Not Rated","23 Sep 1999","93 min","Action, Crime, Drama, Thriller","Johnnie To","Nai-Hoi Yau, Laurent Courtiaud, Julien Carbon","Andy Lau, Ching Wan Lau, YoYo Mung, Waise Lee","Police inspector and excellent hostage negotiator Ho Sheung-Sang finds himself in over his head when he is pulled into a 72 hour game by a cancer suffering criminal out for vengeance on Hong Kong's organized crime Syndicates.","Cantonese, English","Hong Kong","4 wins & 8 nominations.","https://m.media-amazon.com/images/M/MV5BZWYyYWY3YjItYTAxYS00ZWFhLWI4YzQtMWYzYmRkYTkyY2JiXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","5,290","tt0216165","movie","N/A","N/A","Milky Way Image","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","90%","","","","","","","","","","","",""
"686","Bedazzled","2000","PG-13","20 Oct 2000","93 min","Comedy, Fantasy","Harold Ramis","Peter Cook (based on the motion picture screenplay by), Peter Cook (based on the motion picture story by), Dudley Moore (based on the motion picture story by), Larry Gelbart (screenplay), Harold Ramis (screenplay), Peter Tolan (screenplay)","Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor","Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.","English, Spanish, Russian","USA, Germany","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BODgxOTg5OGUtOWViMC00NjM5LWEyMTQtN2M4NTBjYWUzOWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.0/10","49","6.0","95,747","tt0230030","movie","N/A","N/A","KirchMedia, Twentieth Century Fox, Regency Enterprises, Ocean Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","50%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","49/100","","","","","","","","","","","",""
"687","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"688","The History Channel Presents: The Alamo","2003","NOT RATED","30 Dec 2003","240 min","Documentary","N/A","N/A","Phillip DeLaPena, Dennis Quaid","N/A","English","USA","N/A","N/A","","","N/A","N/A","N/A","tt1932729","movie","N/A","N/A","N/A","N/A","True","",""
"689","One True Thing","1998","R","18 Sep 1998","127 min","Drama","Carl Franklin","Anna Quindlen (novel), Karen Croner (screenplay)","Meryl Streep, Renée Zellweger, William Hurt, Tom Everett Scott","A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.","English, Portuguese","USA","Nominated for 1 Oscar. Another 7 nominations.","https://m.media-amazon.com/images/M/MV5BZGI0NmIwOTUtYzk1NS00ODAzLWFiYzEtY2ViYmVmYmE5MWU1XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg","Internet Movie Database","7.0/10","63","7.0","11,152","tt0120776","movie","N/A","N/A","Universal Pictures, Monarch Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","89%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","63/100","","","","","","","","","","","",""
"690","Baby Einstein: Baby Da Vinci from Head to Toe","2004","N/A","10 Aug 2004","33 min","Short, Family, Music","N/A","N/A","Julie Aigner-Clark, Ponce de León, María Fernanda Morales, Valérie Siclay","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTgwOTg0NDA1M15BMl5BanBnXkFtZTcwNTMwNDYyMQ@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","31","tt0488487","movie","N/A","N/A","N/A","N/A","True","",""
"691","Angel's Dance","1999","R","25 Feb 1999","99 min","Action, Comedy, Crime, Drama, Romance","David L. Corley","David L. Corley","Jim Belushi, Sheryl Lee, Kyle Chandler, Frank John Hughes","A young hitman is asked to prove himself by killing an innocent woman.","English","Germany, USA","N/A","https://m.media-amazon.com/images/M/MV5BNjg0NjcyYTUtNGYyZC00NTM2LTllNjMtZDgyZWUyMGJiNDRkXkEyXkFqcGdeQXVyNzYxODU3NA@@._V1_SX300.jpg","Internet Movie Database","6.2/10","N/A","6.2","1,276","tt0159995","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","52%","","","","","","","","","","","",""
"692","The Hand That Rocks the Cradle","1992","R","10 Jan 1992","110 min","Drama, Thriller","Curtis Hanson","Amanda Silver","Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson","After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family.","English","USA","6 wins & 6 nominations.","https://m.media-amazon.com/images/M/MV5BYjdiZDA5ODUtMWE2OC00ZDVkLTkwN2YtOWU5ZTA2ZDdhZWQ3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","6.6/10","64","6.6","37,208","tt0104389","movie","N/A","N/A","Hollywood Pictures, Interscope Communications","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","63%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","64/100","","","","","","","","","","","",""
"693","The Quest","1996","PG-13","26 Apr 1996","95 min","Action, Adventure, Drama, Thriller","Jean-Claude Van Damme","Frank Dux (story), Jean-Claude Van Damme (story), Steve Klein (screenplay), Paul Mones (screenplay)","Jean-Claude Van Damme, Roger Moore, James Remar, Janet Gunn","A group of gentlemen of fortune visits a legendary ""Lost City"", located in Tibet. They plan to steal a priceless statue ""Golden Dragon"" during the martial arts tournament.","English","USA, Canada","1 nomination.","https://m.media-amazon.com/images/M/MV5BMWIyYjMxZTMtZGUyNy00N2UwLTgwNjctOWQ1OGMzN2VlMDExXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg","Internet Movie Database","5.6/10","N/A","5.6","23,897","tt0117420","movie","N/A","N/A","Signature Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","14%","","","","","","","","","","","",""
"695","Koma","2004","R","22 Apr 2004","88 min","Drama, Horror, Romance, Thriller","Chi-Leung Law","Susan Chan (screenplay), Sin Ling Yeung (story)","Kar Yan Lam, Angelica Lee, Andy Chi-On Hui, Raymond Ho-Yin Wong","Jealousy, desire, trust, and revenge. A complicated love triangle emerges during an investigation into the theft of a woman's kidney. At a wedding party in a fancy hotel, a guest happens on...","Cantonese","Hong Kong","2 nominations.","https://m.media-amazon.com/images/M/MV5BYWUwNDQzNDgtYjRiOC00YzAzLWJiMjAtNjY3MTYzNDQ5M2E5XkEyXkFqcGdeQXVyNjczODM4MTc@._V1_SX300.jpg","Internet Movie Database","6.0/10","N/A","6.0","1,751","tt0408970","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","48%","","","","","","","","","","","",""
"696","Last Man Standing","1996","R","20 Sep 1996","101 min","Action, Crime, Drama, Thriller","Walter Hill","Ryûzô Kikushima (story), Akira Kurosawa (story), Walter Hill (screenplay)","Bruce Willis, Bruce Dern, William Sanderson, Christopher Walken","A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.","English, Spanish","USA","N/A","https://m.media-amazon.com/images/M/MV5BOThkYmJjYTMtOWMzNC00ZjQ4LWI4NzAtYjRlMDA3ZWMyYWRmXkEyXkFqcGdeQXVyNDIyMjczNjI@._V1_SX300.jpg","Internet Movie Database","6.4/10","N/A","6.4","52,638","tt0116830","movie","N/A","N/A","New Line Cinema","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","37%","","","","","","","","","","","",""
"698","Daud: Fun on the Run","1997","Not Rated","22 Aug 1997","180 min","Action, Adventure, Comedy, Romance, Thriller","Ram Gopal Varma","Sanjay Chhel (dialogue), Kannan Iyer (screenplay), Kannan Iyer (story), Ram Gopal Varma (screenplay), Ram Gopal Varma (story)","Sanjay Dutt, Urmila Matondkar, Paresh Rawal, Neeraj Vora","Notorious gangster asks a career thief by the name of Nandu to steal a package worth over one crore rupees for a fee, which Nandu does so. Things do not go as planned, when Nandu finds out ...","Hindi","India","N/A","https://m.media-amazon.com/images/M/MV5BM2NhNDcwZDAtYWQxZS00YzY1LWI3ODAtZDI5Y2VjM2E1ZWMxXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_SX300.jpg","Internet Movie Database","5.9/10","N/A","5.9","862","tt0118931","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","53%","","","","","","","","","","","",""
"700","Todd McFarlane's Spawn","1997–1999","TV-MA","16 May 1997","30 min","Animation, Action, Adventure, Crime, Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller","N/A","Alan B. McElroy","Keith David, Richard Dysart, Dominique Jennings, James Keane","After being betrayed and murdered by his employer, a government trained assassin named, Al Simmons, is resurrected as a Hellspawn and is forced to become the reluctant leader of Hell's army.","English","USA","Won 2 Primetime Emmys. Another 2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BYTViMzhmMjItMDcwOS00NzYzLWE3MjMtY2M2MWZhMzM1N2E4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","7,440","tt0118475","series","","","","","True","","3"
"701","Nine Lives","2002","R","22 Sep 2010","85 min","Horror, Thriller","Andrew Green","Andrew Green (screenplay), Tom MacRae (additional dialogue)","Rosie Fellner, Vivienne Harvey, Paris Hilton, Patrick Kennedy","Nine friends are stranded in an isolated Scottish manor house when a centuries-old spirit is unleashed. Only one will survive.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMTc0NTc3NjcwM15BMl5BanBnXkFtZTcwNjU2MzUyMQ@@._V1_SX300.jpg","Internet Movie Database","2.3/10","N/A","2.3","3,252","tt0318497","movie","N/A","N/A","A&amp;A Films Ltd.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","28%","","","","","","","","","","","",""
"703","Japan: Memoirs of a Secret Empire","2004–","N/A","26 May 2004","N/A","Documentary, History","N/A","N/A","Michael Auslin, Beatrice M. Bodart-Bailey, Richard Chamberlain, Michael Cooper","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZGQyZDE4MzctOWFmNy00MDNjLWFjM2MtYWVjNTc3ZjFjYWQ5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","167","tt0800290","series","","","","","True","","1"
"704","A Change of Heart","1998","Not Rated","19 Jul 1998","102 min","Drama","Arvin Brown","Aaron Mendelsohn","Jean Smart, John Terry, Gretchen Corbett, Phillip Geoffrey Hough","A woman discovers that her husband has been hiding a secret.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTkwMzMzMDcyNF5BMl5BanBnXkFtZTcwMzQzMzg2MQ@@._V1_SX300.jpg","Internet Movie Database","6.2/10","N/A","6.2","225","tt0156391","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","18%","","","","","","","","","","","",""
"705","Major League","1989","R","07 Apr 1989","107 min","Comedy, Sport","David S. Ward","David S. Ward","Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.","English, Spanish, Japanese","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BNzM5MWViNTMtMDQ5Ni00M2M0LTg1OTktY2I3YTJkODVkNTBkXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg","Internet Movie Database","7.2/10","62","7.2","60,819","tt0097815","movie","N/A","N/A","Morgan Creek Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","83%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","62/100","","","","","","","","","","","",""
"706","Mobsters","1991","R","26 Jul 1991","104 min","Crime, Drama","Michael Karbelnikoff","Michael Mahern (story), Michael Mahern (screenplay), Nicholas Kazan (screenplay)","Christian Slater, Rodney Eastman, Costas Mandylor, Richard Grieco","From start to finish, it's a story of friendship between four street-wise males who don't mind using violence to achieve the lives that they want. They trust no one but each other, which is vital to their success as mobsters.","English","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BYmU1ZmQ1ODgtMmNhYy00ODE2LTgxZWQtZjA2ZjI1OTllMDlmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","6.0/10","N/A","6.0","8,292","tt0102460","movie","N/A","N/A","Universal Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","6%","","","","","","","","","","","",""
"707","The Return","2003","Not Rated","25 Jun 2003","110 min","Drama","Andrey Zvyagintsev","Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov","Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina","In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.","Russian","Russia","Nominated for 1 Golden Globe. Another 33 wins & 17 nominations.","https://m.media-amazon.com/images/M/MV5BYmViZTY1OWEtMTQxMy00OGQ5LTgzZjAtYTQzOTYxNjliYTI4XkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_SX300.jpg","Internet Movie Database","8.0/10","82","8.0","41,544","tt0376968","movie","N/A","N/A","Octagon Films","N/A","True","",""
"","","","","","","","","","","","","","","","Metacritic","82/100","","","","","","","","","","","",""
"708","The Perfect Storm","2000","PG-13","30 Jun 2000","130 min","Action, Adventure, Drama, Thriller","Wolfgang Petersen","Sebastian Junger (book), William D. Wittliff (screenplay)","George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane","An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.","English","USA","Nominated for 2 Oscars. Another 4 wins & 25 nominations.","https://m.media-amazon.com/images/M/MV5BOGU2MWRiYmQtMDY1MS00OTUzLTkzYTktYjE5YTE4MTI0NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","59","6.4","154,461","tt0177971","movie","02 Sep 2008","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Metacritic","59/100","","","","","","","","","","","",""
"709","Africans in America: America's Journey Through Slavery","1998–","N/A","N/A","360 min","Documentary, History","N/A","N/A","Angela Bassett","The history of African Americans.","English","USA","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMjM3NTE3NTg2OF5BMl5BanBnXkFtZTcwNDYwNzIyMQ@@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","62","tt0174371","series","","","","","True","","N/A"
"714","Whisper Kill","1988","NOT RATED","16 May 1988","93 min","Drama, Thriller","Christian I. Nyby II","John Bensink","Loni Anderson, Joe Penny, June Lockhart, James Sutorius","Liz Bartlett, an ambitious reporter, is the central nerve in a killing spree in this spine-chilling mystery. Secretly wishing that her business associate Jerry Caper were dead, Liz's hidden...","English","USA","1 nomination.","https://ia.media-imdb.com/images/M/MV5BMTQ0MTIzMzEzM15BMl5BanBnXkFtZTgwODY1NjkwMzE@._V1_SX300.jpg","Internet Movie Database","5.3/10","N/A","5.3","125","tt0096435","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","0%","","","","","","","","","","","",""
"716","The Bravados","1958","Approved","01 Aug 1958","98 min","Drama, Western","Henry King","Philip Yordan (screenplay), Frank O'Rourke (novel)","Gregory Peck, Joan Collins, Stephen Boyd, Albert Salmi","A man is chasing four outlaws who killed his wife and finds them in a small town's jail, but they escape to Mexico.","English, Spanish","USA","1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BYjA2M2U5OTMtZGVjNC00N2I5LTg2YjktZWQ3NWIxM2ZlYjFiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","4,761","tt0051433","movie","N/A","N/A","Twentieth Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","100%","","","","","","","","","","","",""
"717","Testosterone","2004","N/A","04 Mar 2005","92 min","Comedy","Giorgos Panousopoulos","Avgoustos Korto, Giorgos Panousopoulos (idea)","Dimitris Liakopoulos, Natalia Dragoumi, Dimitra Matsouka, Ketty Papanika","Peter, the hero, aged 20, finds himself on a deserted Greek island with no other men in sight. The women of the island, regardless of age harass him sexually. What starts off as a typical male sexual fantasy turns out into a nightmare.","Greek, French, English","Greece","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BZmZkY2ViMzktMmU5ZS00YWVlLWFhZmQtZTI3OWJmYTI3ODQwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","Internet Movie Database","4.6/10","N/A","4.6","441","tt0463379","movie","N/A","N/A","Blue Streak Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","6%","","","","","","","","","","","",""
"718","44 Minutes: The North Hollywood Shoot-Out","2003","R","05 Jun 2003","103 min","Action, Crime, Drama","Yves Simoneau","Tim Metcalfe","Michael Madsen, Ron Livingston, Ray Baker, Douglas Spain","After a failed bank robbery, two heavily armed men hold the Los Angeles Police Department at bay for 44 minutes.","English","USA","Nominated for 2 Primetime Emmys. Another 2 nominations.","https://m.media-amazon.com/images/M/MV5BMjAwNzAwNDYxMl5BMl5BanBnXkFtZTcwMDMxNTQyMQ@@._V1_SX300.jpg","Internet Movie Database","6.4/10","N/A","6.4","5,025","tt0362389","movie","N/A","N/A","Columbia","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","57%","","","","","","","","","","","",""
"719","City of Industry","1997","R","14 Mar 1997","97 min","Crime, Drama, Thriller","John Irvin","Ken Solarz","Harvey Keitel, Stephen Dorff, Timothy Hutton, Famke Janssen","A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BZTlkYWUxMGItNjdjZi00MjBkLTg2ZWMtMGJmOWNkMDllM2I2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","Internet Movie Database","6.1/10","N/A","6.1","5,606","tt0118859","movie","N/A","N/A","Largo Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","43%","","","","","","","","","","","",""
"720","Roger & Me","1989","R","20 Dec 1989","91 min","Documentary","Michael Moore","Michael Moore","Michael Moore, Roger B. Smith, Rhonda Britton, Fred Ross","Director Michael Moore pursues GM CEO Roger B. Smith to confront him about the harm he did to Flint, Michigan with his massive downsizing.","English","USA","14 wins.","https://m.media-amazon.com/images/M/MV5BMjRlYWVlZWUtZDE3NS00NjY3LTgwMjItMTc1OGM2ZDI1M2IzXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg","Internet Movie Database","7.4/10","70","7.4","25,429","tt0098213","movie","N/A","N/A","Warner Brothers, Dog Eat Dog Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","100%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","70/100","","","","","","","","","","","",""
"721","Royal Deceit","1994","R","23 Feb 1994","103 min","Adventure, Drama","Gabriel Axel","Gabriel Axel (screenplay), Erik Kjersgaard (screenplay), Saxo Grammaticus (story ""annals Gesta Danorum,  3rd Book"")","Gabriel Byrne, Helen Mirren, Christian Bale, Brian Cox","An ancient Danish story of evil, power and human spirit, that subsequently inspired William Shakespeare on his tragedy - Hamlet.","English, Danish","Netherlands, UK, Denmark, France, Germany","N/A","https://m.media-amazon.com/images/M/MV5BMjEyMDc0MTY2NF5BMl5BanBnXkFtZTcwNTQxMDc3Nw@@._V1_SX300.jpg","Internet Movie Database","5.6/10","N/A","5.6","1,914","tt0110891","movie","N/A","N/A","Miramax","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","25%","","","","","","","","","","","",""
"723","Curly Sue","1991","PG","25 Oct 1991","101 min","Comedy, Drama, Family, Romance","John Hughes","John Hughes","Jim Belushi, Kelly Lynch, Alisan Porter, John Getz","A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BYTc1OWM0YWQtN2NjNS00NTlkLWE2YzktMmQwOTMxMGFhNmEzXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg","Internet Movie Database","5.9/10","N/A","5.9","20,066","tt0101635","movie","N/A","N/A","Warner Brothers","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","13%","","","","","","","","","","","",""
"724","Yu Yu Hakusho: Ghost Files","1992–1995","TV-PG","10 Oct 1992","24 min","Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance","N/A","Yoshihiro Togashi","Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz","One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BYjBlYmVmNzYtZTY5Ni00NTc0LTljODMtMzExMGRiY2YxYzcyXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","10,933","tt0185133","series","","","","","True","","4"
"","","","","","","","","","","","","","","","Rotten Tomatoes","78%","","","","","","","","","","","",""
"725","Woman Thou Art Loosed","2004","R","22 Oct 2004","94 min","Drama","Michael Schultz","T.D. Jakes (novel), Stan Foster (screenplay), Christine Swanson (revised screenplay)","Kimberly Elise, Loretta Devine, Debbi Morgan, Michael Boatman","An adaptation of Bishop T.D. Jakes' self-help novel, chronciling a woman's struggle to come to terms with her legacy of abuse, addiction and poverty.","English","USA","6 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTA3MTk4NjQ0MjReQTJeQWpwZ15BbWU2MDQyMzc3Ng@@._V1_SX300.jpg","Internet Movie Database","6.6/10","55","6.6","873","tt0399901","movie","N/A","N/A","T.D. Jakes Ministries, Woman Thou Art Loosed LLC","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","51%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","55/100","","","","","","","","","","","",""
"726","The Haunting of Morella","1990","R","09 Feb 1990","82 min","Horror, Romance, Thriller","Jim Wynorski","Edgar Allan Poe (story), R.J. Robertson (screenplay by)","David McCallum, Nicole Eggert, Christopher Halsted, Lana Clarkson","A witch is put to death in Colonial America, leaving her husband and infant daughter behind. Seventeen years later, the daughter has grown up and stands to inherit money set up by her ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjkyNjZkOTMtNjAzMy00YzgzLWE5NTEtOTQ2MGZlNzg4NDI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","4.3/10","N/A","4.3","679","tt0099743","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","26%","","","","","","","","","","","",""
"727","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"728","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"729","Fast Food","2000","N/A","01 Aug 2000","12 min","Short, Comedy, Crime","Jonathan Fahn","Marty Parker","Tom Fahn, Betty Porter, Jonathan Fahn, Dan Lorge","Mobster Bobby runs a succesful racket in the fast food industry.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BODQ1NTAzNzY1NV5BMl5BanBnXkFtZTcwMTIwNjA0MQ@@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","47","tt0301290","movie","N/A","N/A","N/A","N/A","True","",""
"731","Mr. Magoo","1997","PG","25 Dec 1997","87 min","Adventure, Comedy, Family","Stanley Tong","Pat Proft, Tom Sherohman","Leslie Nielsen, Kelly Lynch, Matt Keeslar, Nick Chinlund","The myopic millionaire defeats jewel smugglers in his usual bumbling manner.","English","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BODFiOWY2OTctMzBlNi00MjhhLTg4MWQtMTI5YTUzZTI2N2E1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg","Internet Movie Database","4.0/10","18","4.0","14,143","tt0119718","movie","N/A","N/A","Walt Disney Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","7%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","18/100","","","","","","","","","","","",""
"733","Dead Ringers","1988","R","23 Sep 1988","116 min","Drama, Horror, Thriller","David Cronenberg","David Cronenberg, Norman Snider, Bari Wood (book), Jack Geasland (book)","Jeremy Irons, Geneviève Bujold, Heidi von Palleske, Barbara Gordon","Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.","English","Canada","20 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BYTY4MTVhZGEtNGUyMS00Y2ZhLTlmN2EtMWI1YTYxMGYyN2I1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","Internet Movie Database","7.3/10","86","7.3","40,438","tt0094964","movie","N/A","N/A","Morgan Creek Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","83%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","86/100","","","","","","","","","","","",""
"734","Indochine","1992","PG-13","23 Dec 1992","160 min","Drama, Romance, War","Régis Wargnier","Erik Orsenna (original scenario & adaptation and dialogue), Louis Gardel (original scenario & adaptation and dialogue), Catherine Cohen (original scenario & adaptation and dialogue), Régis Wargnier (original scenario & adaptation and dialogue)","Catherine Deneuve, Vincent Perez, Linh Dan Pham, Jean Yanne","Eliane adopts Camille, whose Vietnamese parents were friends. In 1930, a French navy officer is interested in Eliane (owns 60km2 plantation) and later in Camille. There's an uprising in Vietnam against French colonial power.","French, Vietnamese","France","Won 1 Oscar. Another 11 wins & 13 nominations.","https://m.media-amazon.com/images/M/MV5BZWJiNjFmOGYtMWY4ZC00MGUxLTgzOTUtNGJjNWQzNGZlZDc0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","9,138","tt0104507","movie","N/A","N/A","Paradis Film, Canal+","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","72%","","","","","","","","","","","",""
